Subject Name,Location (Block/Room),Core Focus,Prerequisite Knowledge (Random),Duration (Weeks),Highly Recommended for...,Technical/Soft Skill,Faculty
Robotics Club Practicum,"Block C, Room C-214","Team-based robot design, Sensors, Actuators, AI logic, Competitions",Basic Programming Logic,10,"Mechanical, Electrical, and Programming Enthusiasts",Technical,Dr. Ritesh Kapoor
Competitive Programming,"Block A, Room A-109","Data structures, Dynamic programming, Algorithmic efficiency, Coding speed",Advanced Data Structures,8,"Technical Interviews, Software Development Roles",Technical,Prof. Anjali Menon
Public Speaking for Engineers,"Block D, Room D-301","Clarity, Confidence, Technical presentations, Audience engagement",None,6,"Leadership, Client-facing Roles, Project Managers",Soft Skill,Ms. Suresh Verma
Design Thinking Workshop,"Block B, Room B-118","Human-centered problem-solving, Empathy mapping, Prototyping",Basic Problem Solving,5,"Entrepreneurship, Product Development",Soft Skill,Dr. Priya Singh
Ethical Hacking Fundamentals,"Block A, Room A-212","Penetration testing, Network vulnerabilities, Malware basics, Cyber defense",Networking Basics,12,"Cybersecurity, IT Audit",Technical,Prof. Vishal Shah
Financial Literacy for Engineers,"Block E, Room E-102","Budgeting, Investing, Taxes, Personal finance, Stock market concepts",Basic Arithmetic,4,All Students (Personal Finance),Soft Skill,Mr. Rohan Bhatia
Drone Technology and Applications,"Block F, Room F-205","Flight control, GPS navigation, Aerial imaging, Drone assembly",Basic Physics,10,"Aerospace Engineering, Surveying",Technical,Dr. Kavita Reddy
Technical Blogging and Documentation,"Block D, Room D-117","Clear technical content, Audience-focused writing, Professional visibility",Good English Skills,6,"Open Source Contributors, Researchers",Soft Skill,Prof. Dheeraj Gupta
Open-Source Contribution Lab,"Block A, Room A-305","Git, Issue tracking, Contributing code/docs to real projects, Teamwork","Proficient in one language (e.g., Python)",8,"Software Engineers, Collaboration-Focused Roles",Technical,Ms. Neeti Das
Artificial Intelligence for Non-CS Engineers,"Block C, Room C-119","AI use-cases, AI ethics, Machine learning tools (No heavy math)",Domain Specific Knowledge,5,"Interdisciplinary Projects, Domain Experts",Technical,Dr. Farhan Khan
Leadership and Team Dynamics,"Block E, Room E-210","Leadership styles, Conflict resolution, Emotional intelligence, Team-leading",None,7,"Management Roles, Team Leads",Soft Skill,Prof. Swati Puri
Startup Ideation and Pitching,"Block B, Room B-401","Idea validation, Market analysis, Value propositions, Mock investor pitches",Market Awareness,8,Aspiring Entrepreneurs,Soft Skill,Mr. Manish Jain
UI/UX Design Basics,"Block D, Room D-223","User-centered design, Wireframing, Usability testing, Figma tools",Creative Interest,6,"Mobile App Developers, Product Designers",Technical,Dr. Leela Bose
Environmental Sustainability Practices,"Block F, Room F-112","Renewable energy, Waste management, Eco-friendly solutions, Sustainable engineering",General Science Awareness,4,"Civil, Chemical, and Environmental Engineers",Technical,Prof. Karan Iyer
Photography and Visual Storytelling,"Block G, Room G-104","Composition, Lighting, Technical and artistic photography, Creative expression",None,5,Visual Content Creators,Soft Skill,Ms. Disha Patel
Game Development Basics,"Block A, Room A-410","Game mechanics, Logic, Physics, Interaction design, Small game development",Programming Basics,10,"Interactive Design, Software Developers",Technical,Dr. Vivek Sharma
Patent Awareness and IPR,"Block E, Room E-305","Intellectual property rights, Patents, Copyrights, Filing procedures, Innovation protection",None,4,"Researchers, Innovators, R&D Staff",Soft Skill,Prof. Uma Devi
Time Management and Productivity,"Block D, Room D-206","Prioritization matrices, Habit-building, Daily efficiency, Stress reduction",None,3,All Students (Personal Efficiency),Soft Skill,Mr. Chetan Rao
Internet of Things (IoT) Workshop,"Block C, Room C-322","Smart connected devices, Sensors, Cloud platforms, Communication protocols",Embedded Systems Basics,12,"Hardware and Software Engineers, Automation",Technical,Dr. Sandeep Ghosh
Resume Building and Career Branding,"Block H, Room H-101","Resume formats, LinkedIn optimization, Mock interviews, Employability boost",None,2,"Job Seekers, Interns",Soft Skill,Prof. Amara Saini
Debate and Critical Thinking,"Auditorium Annex, Room A-02","Logical reasoning, Evidence-based arguments, Public confidence, Informed opinions",Strong Communication Skills,7,"Law, Policy, and Public Relations",Soft Skill,Ms. Tarunima Pal
Creative Writing for Engineers,"Block H, Room H-212","Storytelling, Expressive writing, Language fluency, Beyond technical thinking",Good Language Fluency,5,"Technical Writers, Content Creators",Soft Skill,Dr. Jitendra Yadav
Data Visualization,"Block A, Room A-509","Charts, Dashboards, Storytelling with data, Analytical communication, Tableau/Python",Data Analysis Basics,6,"Data Analysts, Researchers, BI Specialists",Technical,Prof. Chanchal Nair
Ethics in Technology,"Block E, Room E-118","Moral challenges, AI bias, Data privacy, Responsible engineering, Case studies",Basic Understanding of Technology,4,"Policy Makers, AI Developers",Soft Skill,Mr. Amit Kulkarni
Virtual Reality Development,"Block F, Room F-318","VR design principles, Immersive technologies, Tools, Applications in training",3D Modeling Basics,8,"XR Developers, Gaming Industry",Technical,Dr. Gayatri Dixit
Negotiation Skills,"Block E, Room E-405","Negotiation strategies, Persuasion, Role-playing, Workplace interactions",Conflict Resolution Skills,3,"Sales, Management, Consulting",Soft Skill,Prof. Ravi Shankar
Music Technology and Acoustics,"Block G, Room G-209","Sound waves, Recording techniques, Digital audio tools, Interdisciplinary learning",Basic Physics/Signal Processing,7,"Audio Engineers, Music Producers",Technical,Ms. Lakshmi Latha
Volunteer Engineering Projects,"Block H, Room H-207","Social-impact problems, Engineering solutions for communities, Teamwork, Empathy",Community Awareness,10,Students interested in Social Work/NGOs,Soft Skill,Dr. Madan Mohan
Scientific Paper Reading Club,"Block C, Room C-401","Critical paper reading, Discussion sessions, Analytical thinking, Cutting-edge research",Research Interest,8,"Higher Studies, Academic Researchers",Soft Skill,Dr. Ritesh Kapoor
Advanced Excel and Automation,"Block A, Room A-214","Spreadsheet techniques, Automation, Data analysis, Productivity improvements",Intermediate Excel Skills,4,"Business Analysts, Engineers in Data-heavy Roles",Technical,Prof. Anjali Menon
Human Psychology for Engineers,"Block H, Room H-310","Cognitive biases, Motivation, Human behavior, Human-centered design applications",Basic Sociology,5,"UX/UI Designers, Product Managers",Soft Skill,Ms. Suresh Verma
Technical Quiz Club,"Block D, Room D-002","General technical knowledge, Team-based competitions, Confidence and curiosity",Wide Technical Knowledge,10,Competitive Exam Aspirants,Technical,Dr. Priya Singh
Engineering Drawing (Advanced),"Block B, Room B-208","Technical drawing refinement, Advanced CAD tools, Precision and standards",Basic Engineering Drawing,8,"Mechanical, Civil, and Product Designers",Technical,Prof. Vishal Shah
Mobile App Prototyping,"Block A, Room A-330","UI flow, User needs, Rapid prototyping tools, Feedback-driven iteration",Basic App Design Concepts,6,"Mobile Developers, Product Thinkers",Technical,Mr. Rohan Bhatia
Robotics Ethics and Safety,"Block C, Room C-210","Ethical issues in robotics, Safety standards and regulations, Responsible deployment",Robotics Fundamentals,4,"Robotics Researchers, Policy Makers",Soft Skill,Dr. Kavita Reddy
Film Appreciation and Analysis,"Block G, Room G-012","Technical and narrative analysis, Cinematography, Editing, Cultural awareness",Interest in Cinema,5,"Creative Fields, Storytelling",Soft Skill,Prof. Dheeraj Gupta
Cloud Computing Basics,"Block A, Room A-601","Cloud concepts and services, Deployment models, Security basics, Hands-on demos",Basic Internet Knowledge,6,"Software Developers, DevOps Engineers",Technical,Ms. Neeti Das
Stress Management and Mindfulness,"Wellness Center, Room W-105","Coping strategies for stress, Mindfulness, Breathing techniques, Mental well-being",None,3,All Students (Well-being),Soft Skill,Dr. Farhan Khan
Engineering Entrepreneurship Case Studies,"Block B, Room B-305","Analyzing successful startups, Business decisions, Failures, Strategic thinking",Business Acumen,5,"Aspiring Founders, Business Development",Soft Skill,Prof. Swati Puri
Creative Problem Solving,"Block B, Room B-117","Open-ended challenges, Brainstorming techniques, Innovation skills, Adaptability",Lateral Thinking,4,"R&D, Innovation Teams",Soft Skill,Mr. Manish Jain
Technical Event Management,"Block H, Room H-120","Planning, Budgeting, Coordination, Real college events, Organizational abilities",Leadership Skills,4,"Student Leaders, Event Organizers",Soft Skill,Dr. Leela Bose
Sustainable Product Design,"Block F, Room F-220","Lifecycle analysis, Material selection, Environmental impact evaluation, Eco-conscious design",Materials Science Basics,7,"Industrial Design, Mechanical Engineering",Technical,Prof. Karan Iyer
Mathematical Puzzles and Logic,"Block C, Room C-009","Reasoning improvement, Logical thinking, Analytical skills, Fun challenges",High School Math,8,"Competitive Programming, Data Science",Technical,Ms. Disha Patel
Automation with Python,"Block A, Room A-507","Scripting for automation tasks, Productivity tools, Practical coding skills, Code readability",Python Programming,6,"Data Engineers, System Administrators",Technical,Dr. Vivek Sharma
Engineering Journalism,"Block D, Room D-312","Reporting technical news, Fact-checking, Writing for general audiences, Ethical reporting",Strong Writing Skills,5,"Public Relations, Technical Communication",Soft Skill,Prof. Uma Devi
Augmented Reality Basics,"Block F, Room F-324","AR concepts and tools, Interactive overlays, Applications in education, Immersive tech",Basic Unity/Game Engine Knowledge,8,"XR Developers, Educators",Technical,Mr. Chetan Rao
Systems Thinking,"Block E, Room E-509","Holistic problem viewing, Interconnections, Complex problem-solving, Strategy",Analytical Skills,6,"Project Managers, Enterprise Architects",Soft Skill,Dr. Sandeep Ghosh
Engineering for Accessibility,"Block H, Room H-402","Solutions for differently-abled users, Accessibility standards, Empathy-driven design",Empathy and Design Interest,5,"UI/UX, Product Design, Civil Engineering",Technical,Prof. Amara Saini
Research Methodology,"Block C, Room C-512","Structured research conduct, Literature review, Research ethics, Academic preparation",Research Interest,7,"Higher Studies, Scientific Writers",Soft Skill,Ms. Tarunima Pal
Technical Stand-up Comedy,"Block G, Room G-001","Humor through technical storytelling, Presentation, Timing, Confidence",Stage Presence,4,"Public Speakers, Communicators",Soft Skill,Dr. Jitendra Yadav
Agile and Scrum Practices,"Block A, Room A-702","Agile development principles, Scrum roles and ceremonies, Industry workflows",Teamwork Experience,3,"Software Project Managers, Developers",Soft Skill,Prof. Chanchal Nair
Engineering History and Innovations,"Block E, Room E-001","Major breakthroughs, Context behind innovations, Lessons from failures, Appreciation for the field",History Interest,5,"Researchers, Educators",Soft Skill,Mr. Amit Kulkarni
Coding for Social Good,"Block H, Room H-215","Developing software for NGOs, Real problems, Impact assessment, Coding with purpose","Proficient in one language (e.g., JavaScript)",10,"Social Entrepreneurs, Full Stack Developers",Technical,Dr. Gayatri Dixit
Hardware Troubleshooting Lab,"Block C, Room C-128","Diagnosing hardware issues, Practical problem-solving, Tools and safety, Hands-on confidence",Basic Electronics,8,"Maintenance Engineers, IT Support",Technical,Prof. Ravi Shankar
Scientific Illustration,"Block G, Room G-307","Visual explanation of technical concepts, Diagrams and infographics, Visual communication",Drawing Skills,6,"Technical Writers, Researchers",Soft Skill,Ms. Lakshmi Latha
Voice-Controlled Systems,"Block A, Room A-615","Voice-controlled applications, Speech recognition basics, Human-computer interaction",Basic Programming,7,"AI Developers, IoT Specialists",Technical,Dr. Madan Mohan
Engineering Law Basics,"Block E, Room E-404","Laws affecting engineers, Contracts, Liabilities, Risk awareness, Professional practice",Legal Interest,4,"Consulting Engineers, Project Managers",Soft Skill,Dr. Ritesh Kapoor
Cross-Cultural Communication,"Block H, Room H-118","Working in diverse teams, Cultural differences, Communication barriers, Global careers",Global Awareness,3,"International Business, Global Teams",Soft Skill,Prof. Anjali Menon
Innovation Management,"Block B, Room B-509","Ideas becoming products, Innovation pipelines, Risk and iteration, Entrepreneurial growth",Business Strategy,5,"Product Managers, R&D Leaders",Soft Skill,Ms. Suresh Verma
Engineering Ethics Case Workshop,"Block E, Room E-222","Analyzing real ethical dilemmas, Decision-making frameworks, Moral reasoning, Accountability",Ethics Coursework,4,All Engineers,Soft Skill,Dr. Priya Singh